generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.8391806§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§670§0.005279077
20§1.3496723§1.0828948§Chromosome(steinerPoints=[(0.5510633, 0.42260683)], includedObstacleCornersIndices=set([]))§3887§0.016851092
21§1.3370824§1.0725093§Chromosome(steinerPoints=[(0.5316029, 0.44473022)], includedObstacleCornersIndices=set([]))§4057§0.01749885
40§1.312451§1.0642979§Chromosome(steinerPoints=[(0.519959, 0.40194255)], includedObstacleCornersIndices=set([]))§7335§0.031339686
43§1.2680839§1.0585477§Chromosome(steinerPoints=[(0.45864546, 0.40167528)], includedObstacleCornersIndices=set([]))§7866§0.03452731
59§1.2511537§1.0562289§Chromosome(steinerPoints=[(0.519959, 0.40194255), (0.46034074, 0.42669535)], includedObstacleCornersIndices=set([]))§10678§0.05240706
60§1.2464515§1.0560427§Chromosome(steinerPoints=[(0.48028243, 0.44531375)], includedObstacleCornersIndices=set([]))§10856§0.053434934
68§1.27273§1.0515168§Chromosome(steinerPoints=[(0.45864546, 0.40167528), (0.48531526, 0.41345108)], includedObstacleCornersIndices=set([]))§12281§0.061459452
72§1.2711017§1.0513477§Chromosome(steinerPoints=[(0.45864546, 0.40167528), (0.47773355, 0.4139881)], includedObstacleCornersIndices=set([]))§12995§0.0656864
79§1.2596583§1.0512058§Chromosome(steinerPoints=[(0.48531526, 0.41345108)], includedObstacleCornersIndices=set([]))§14256§0.0739423
357§1.2047987§1.0509396§Chromosome(steinerPoints=[(0.48531526, 0.41345108), (0.48997796, 0.41705644)], includedObstacleCornersIndices=set([]))§70716§0.37087184
361§1.1877815§1.0508068§Chromosome(steinerPoints=[(0.48997796, 0.41705644)], includedObstacleCornersIndices=set([]))§71620§0.37936696
862§1.1701195§1.050785§Chromosome(steinerPoints=[(0.47995767, 0.42745426)], includedObstacleCornersIndices=set([]))§188132§0.9527212
