generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§999999800§2.3736408§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 5, 12, 7, 0]))§670§0.117391
4§260000020§2.3402195§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6, 11, 12, 0]))§1173§0.13300593
7§359999970§2.3319263§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6, 4, 5, 12, 0]))§1677§0.14679836
8§280000030§2.3255217§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7, 0]))§1846§0.15157686
12§260000020§2.320074§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 4, 5, 6]))§2528§0.1708549
20§280000030§2.3193567§Chromosome(steinerPoints=[(0.29231888, 0.60924506)], includedObstacleCornersIndices=set([0, 7, 6]))§3893§0.21248473
23§479999870§2.2939155§Chromosome(steinerPoints=[(0.1530628, 0.6544833)], includedObstacleCornersIndices=set([7, 6, 0]))§4410§0.22783129
27§160000020§2.2879229§Chromosome(steinerPoints=[(0.17039871, 0.5986069)], includedObstacleCornersIndices=set([6, 7, 0]))§5107§0.24882503
63§260000020§2.2814238§Chromosome(steinerPoints=[(0.17039871, 0.5986069), (0.3477498, 0.8282617)], includedObstacleCornersIndices=set([0, 7, 6]))§11396§0.45128468
82§379999940§2.2779412§Chromosome(steinerPoints=[(0.3477498, 0.8282617), (0.17039871, 0.5986069), (0.19380137, 0.47116745)], includedObstacleCornersIndices=set([7, 6, 0]))§14797§0.561555
83§280000030§2.2771285§Chromosome(steinerPoints=[(0.3477498, 0.8282617), (0.17039871, 0.5986069), (0.19380137, 0.47116745)], includedObstacleCornersIndices=set([7, 6]))§14978§0.56780267
116§240000020§2.2737348§Chromosome(steinerPoints=[(0.3477498, 0.8282617), (0.19380137, 0.47116745), (0.1812137, 0.6434666)], includedObstacleCornersIndices=set([6, 7]))§21058§0.7987224
125§399999940§2.2726283§Chromosome(steinerPoints=[(0.3477498, 0.8282617), (0.19380137, 0.47116745), (0.1812137, 0.6434666), (0.6766716, 0.68561697)], includedObstacleCornersIndices=set([6]))§22736§0.8616585
162§240000020§2.2722137§Chromosome(steinerPoints=[(0.19380137, 0.47116745), (0.1812137, 0.6434666), (0.3477498, 0.8282617), (0.6766716, 0.68561697), (0.22163889, 0.6264463)], includedObstacleCornersIndices=set([6]))§29793§1.1339359
178§180000020§2.2697392§Chromosome(steinerPoints=[(0.19380137, 0.47116745), (0.1812137, 0.6434666), (0.6766716, 0.68561697), (0.3477498, 0.8282617), (0.19911166, 0.6311794)], includedObstacleCornersIndices=set([6]))§32906§1.2562368
181§280000030§2.269351§Chromosome(steinerPoints=[(0.6766716, 0.68561697), (0.19380137, 0.47116745), (0.19911166, 0.6311794), (0.3477498, 0.8282617)], includedObstacleCornersIndices=set([6]))§33492§1.2787619
198§359999970§2.2688694§Chromosome(steinerPoints=[(0.3477498, 0.8282617), (0.6766716, 0.68561697), (0.19380137, 0.47116745), (0.19911166, 0.6311794), (0.21210846, 0.48130226)], includedObstacleCornersIndices=set([6]))§36886§1.4207813
240§379999940§2.2681386§Chromosome(steinerPoints=[(0.6766716, 0.68561697), (0.3477498, 0.8282617), (0.21210846, 0.48130226), (0.19911166, 0.6311794), (0.36202598, 0.8184543)], includedObstacleCornersIndices=set([6]))§45404§1.7530032
249§280000030§2.265844§Chromosome(steinerPoints=[(0.6766716, 0.68561697), (0.36202598, 0.8184543), (0.21210846, 0.48130226), (0.19911166, 0.6311794)], includedObstacleCornersIndices=set([6]))§47254§1.8248605
312§320000000§2.2647529§Chromosome(steinerPoints=[(0.21210846, 0.48130226), (0.19911166, 0.6311794), (0.6766716, 0.68561697), (0.36202598, 0.8184543), (0.36563426, 0.8275352)], includedObstacleCornersIndices=set([6]))§60736§2.3515444
498§160000020§2.2644837§Chromosome(steinerPoints=[(0.6766716, 0.68561697), (0.36563426, 0.8275352), (0.21210846, 0.48130226), (0.19911166, 0.6311794), (0.21439987, 0.4726928)], includedObstacleCornersIndices=set([6]))§103457§4.0204263
568§200000020§2.2635329§Chromosome(steinerPoints=[(0.6766716, 0.68561697), (0.36563426, 0.8275352), (0.19911166, 0.6311794), (0.21439987, 0.4726928), (0.20609099, 0.6271579)], includedObstacleCornersIndices=set([6]))§119710§4.6551
597§180000020§2.2629507§Chromosome(steinerPoints=[(0.6766716, 0.68561697), (0.36563426, 0.8275352), (0.20609099, 0.6271579), (0.21439987, 0.4726928), (0.68471444, 0.7794714)], includedObstacleCornersIndices=set([6]))§126450§4.918528
