generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2480000500§10.144281§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§674§0.4463262
6§300000000§10.132978§Chromosome(steinerPoints=[(5.1672354, 3.608791)], includedObstacleCornersIndices=set([]))§1520§0.45965356
13§220000020§10.121946§Chromosome(steinerPoints=[(5.1055646, 5.6787558)], includedObstacleCornersIndices=set([]))§2696§0.46870407
50§439999900§10.115934§Chromosome(steinerPoints=[(5.1672354, 3.608791), (3.2058382, 2.563835)], includedObstacleCornersIndices=set([]))§9104§0.5166733
57§419999900§10.107563§Chromosome(steinerPoints=[(3.2058382, 2.563835), (5.1055646, 5.6787558), (5.1672354, 3.608791), (5.1935515, 3.6255264)], includedObstacleCornersIndices=set([]))§10329§0.52787006
61§300000000§10.104572§Chromosome(steinerPoints=[(5.1055646, 5.6787558), (5.1672354, 3.608791), (3.2058382, 2.563835)], includedObstacleCornersIndices=set([]))§11041§0.5343778
66§499999900§10.08982§Chromosome(steinerPoints=[(5.1055646, 5.6787558), (5.1672354, 3.608791), (6.3411655, 2.8635757), (5.1666594, 3.5896466), (3.2058382, 2.563835)], includedObstacleCornersIndices=set([]))§11919§0.54346216
164§359999970§10.086044§Chromosome(steinerPoints=[(3.2058382, 2.563835), (5.1672354, 3.608791), (6.3411655, 2.8635757), (5.1666594, 3.5896466), (5.1747985, 5.5089793)], includedObstacleCornersIndices=set([]))§30186§0.8084395
216§519999900§10.084518§Chromosome(steinerPoints=[(3.2058382, 2.563835), (2.6722224, 2.4567626), (6.3411655, 2.8635757), (5.1672354, 3.608791), (5.1747985, 5.5089793), (6.7424755, 2.5865438)], includedObstacleCornersIndices=set([]))§40514§0.95837164
302§339999970§10.083299§Chromosome(steinerPoints=[(6.7424755, 2.5865438), (2.6722224, 2.4567626), (5.1747985, 5.5089793), (5.1666594, 3.5896466), (3.2058382, 2.563835), (3.7088504, 2.814824)], includedObstacleCornersIndices=set([]))§58516§1.2429208
472§220000020§10.079889§Chromosome(steinerPoints=[(3.2058382, 2.563835), (5.1666594, 3.5896466), (6.7424755, 2.5865438), (5.2170267, 6.1087503)], includedObstacleCornersIndices=set([]))§97523§1.6903977
644§260000020§10.0764675§Chromosome(steinerPoints=[(3.2058382, 2.563835), (5.2170267, 6.1087503), (5.1666594, 3.5896466), (6.7818055, 2.6527784)], includedObstacleCornersIndices=set([]))§137602§2.1300907
894§220000020§10.07461§Chromosome(steinerPoints=[(3.2058382, 2.563835), (5.678042, 3.300604), (5.1860647, 3.6005325), (5.2170267, 6.1087503), (5.1920815, 3.9017794), (6.7410398, 2.6364665)], includedObstacleCornersIndices=set([]))§195756§2.945613
921§220000020§10.073205§Chromosome(steinerPoints=[(6.7410398, 2.6364665), (3.2058382, 2.563835), (5.678042, 3.300604), (5.1860647, 3.6005325), (5.1920815, 3.9017794), (5.2293997, 5.9669366)], includedObstacleCornersIndices=set([]))§202036§3.0467148
949§160000020§10.071066§Chromosome(steinerPoints=[(3.2058382, 2.563835), (5.1860647, 3.6005325), (5.1920815, 3.9017794), (6.7410398, 2.6364665), (5.678042, 3.300604), (5.1792045, 5.9000382)], includedObstacleCornersIndices=set([]))§208556§3.151506
980§220000020§10.069652§Chromosome(steinerPoints=[(6.754175, 2.646606), (5.1860647, 3.6005325), (5.1920815, 3.9017794), (5.21763, 6.0355787), (5.678042, 3.300604), (3.2361422, 2.6130457)], includedObstacleCornersIndices=set([]))§215787§3.2659323
993§200000020§10.06808§Chromosome(steinerPoints=[(3.2361422, 2.6130457), (5.678042, 3.300604), (6.754175, 2.646606), (5.1860647, 3.6005325), (5.1920815, 3.9017794), (5.192998, 5.9952636)], includedObstacleCornersIndices=set([]))§218790§3.3153787
1494§160000020§10.067394§Chromosome(steinerPoints=[(3.2361422, 2.6130457), (5.1917977, 6.000924), (5.1900163, 3.9183822), (5.1860647, 3.6005325), (5.802056, 3.22547), (6.7457547, 2.645921)], includedObstacleCornersIndices=set([]))§335215§5.19388
