generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2.135416§1.2786508§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([2]))§669§0.046673108
2§1.9794495§0.96950686§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§838§0.049018458
5§1.5054356§0.9625629§Chromosome(steinerPoints=[(0.6425721, 0.58101016), (0.54114854, 0.4626837)], includedObstacleCornersIndices=set([]))§1344§0.05454198
6§1.3879725§0.9402447§Chromosome(steinerPoints=[(0.6026941, 0.5482638)], includedObstacleCornersIndices=set([]))§1510§0.05599147
7§1.3127927§0.93205345§Chromosome(steinerPoints=[(0.5672034, 0.5444623)], includedObstacleCornersIndices=set([]))§1681§0.057385772
13§1.0883667§0.90754277§Chromosome(steinerPoints=[(0.34756705, 0.5578744), (0.57424617, 0.5430237)], includedObstacleCornersIndices=set([]))§2694§0.0649766
16§1.0792625§0.90159434§Chromosome(steinerPoints=[(0.5672034, 0.5444623), (0.36033583, 0.526219)], includedObstacleCornersIndices=set([]))§3207§0.069085136
17§1.0658746§0.8976337§Chromosome(steinerPoints=[(0.54114854, 0.4626837), (0.35405147, 0.48052594)], includedObstacleCornersIndices=set([]))§3376§0.070584185
21§1.042399§0.8949026§Chromosome(steinerPoints=[(0.55922604, 0.46379808), (0.36299455, 0.48230907)], includedObstacleCornersIndices=set([]))§4059§0.077372506
39§0.9951728§0.8941152§Chromosome(steinerPoints=[(0.57424617, 0.5430237), (0.5534527, 0.5120607), (0.35405147, 0.48052594), (0.36750323, 0.5057615)], includedObstacleCornersIndices=set([]))§7173§0.11369624
44§0.9809057§0.8935315§Chromosome(steinerPoints=[(0.55922604, 0.46379808), (0.36299455, 0.48230907), (0.5510404, 0.47863764)], includedObstacleCornersIndices=set([]))§8042§0.12558778
545§0.9437258§0.8934726§Chromosome(steinerPoints=[(0.5510404, 0.47863764), (0.36299455, 0.48230907)], includedObstacleCornersIndices=set([]))§114457§1.1151665
