generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2.8560603§2.4914799§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§669§0.15612434
3§2.6740062§2.4867187§Chromosome(steinerPoints=[(0.8672816, 0.66623825)], includedObstacleCornersIndices=set([]))§1004§0.16594692
6§2.5736454§2.4859324§Chromosome(steinerPoints=[(0.63119954, 0.69745463)], includedObstacleCornersIndices=set([6, 5]))§1513§0.1791944
9§2.5344505§2.446046§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([13]))§2018§0.1917656
12§2.52097§2.4361727§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([6, 7]))§2528§0.20439033
15§2.5164433§2.4314115§Chromosome(steinerPoints=[(0.8672816, 0.66623825), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([]))§3042§0.21828733
17§2.5117204§2.4116304§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([13]))§3380§0.22796057
19§2.5085666§2.406326§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([6]))§3722§0.2386428
21§2.499672§2.396996§Chromosome(steinerPoints=[(0.8672816, 0.66623825), (0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([]))§4063§0.24978903
29§2.4442337§2.3967059§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412), (0.8672816, 0.66623825), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([13]))§5426§0.29559883
31§2.436154§2.3914013§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.8672816, 0.66623825), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([6]))§5770§0.3080074
41§2.4312568§2.3893733§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.54458016, 0.72617155), (0.8672816, 0.66623825)], includedObstacleCornersIndices=set([]))§7501§0.376188
55§2.4314556§2.3885767§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.54458016, 0.72617155), (0.8672816, 0.66623825), (0.14995065, 0.33265412), (0.49693203, 0.8248326)], includedObstacleCornersIndices=set([]))§9951§0.47188947
361§2.4161863§2.3862364§Chromosome(steinerPoints=[(0.8672816, 0.66623825), (0.54458016, 0.72617155), (0.4304372, 0.678396), (0.14995065, 0.33265412), (0.5274515, 0.7358153)], includedObstacleCornersIndices=set([]))§71833§2.6728182
363§2.41468§2.3857684§Chromosome(steinerPoints=[(0.8672816, 0.66623825), (0.14995065, 0.33265412), (0.5274515, 0.7358153), (0.4304372, 0.678396)], includedObstacleCornersIndices=set([]))§72284§2.6878076
366§2.4100122§2.3845642§Chromosome(steinerPoints=[(0.8672816, 0.66623825), (0.5274515, 0.7358153), (0.4304372, 0.678396), (0.14995065, 0.33265412), (0.5410862, 0.7460676)], includedObstacleCornersIndices=set([]))§72962§2.7103531
468§2.4027176§2.3830297§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.4304372, 0.678396), (0.5410862, 0.7460676), (0.8401918, 0.6861908)], includedObstacleCornersIndices=set([]))§96584§3.471827
477§2.4010377§2.3779557§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.4304372, 0.678396), (0.5410862, 0.7460676), (0.8401918, 0.6861908), (0.8682423, 0.67855984)], includedObstacleCornersIndices=set([]))§98666§3.5395143
807§2.3982878§2.3771157§Chromosome(steinerPoints=[(0.5410862, 0.7460676), (0.14995065, 0.33265412), (0.4304372, 0.678396), (0.8401918, 0.6861908), (0.87989277, 0.6902548)], includedObstacleCornersIndices=set([]))§175353§6.3971257
812§2.3999286§2.3766315§Chromosome(steinerPoints=[(0.5410862, 0.7460676), (0.4304372, 0.678396), (0.14995065, 0.33265412), (0.87989277, 0.6902548)], includedObstacleCornersIndices=set([]))§176521§6.439974
890§2.3916864§2.3762765§Chromosome(steinerPoints=[(0.87989277, 0.6902548), (0.5410862, 0.7460676), (0.14995065, 0.33265412), (0.44082013, 0.6903503), (0.4314871, 0.6851546)], includedObstacleCornersIndices=set([]))§194563§7.0372877
939§2.396449§2.3751898§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.4063697, 0.7004776), (0.5410862, 0.7460676), (0.4314871, 0.6851546), (0.8554702, 0.6790912)], includedObstacleCornersIndices=set([]))§205903§7.429003
970§2.3896654§2.3737938§Chromosome(steinerPoints=[(0.53026396, 0.76164365), (0.14995065, 0.33265412), (0.4314871, 0.6851546), (0.8554702, 0.6790912), (0.43107077, 0.70080006)], includedObstacleCornersIndices=set([]))§213092§7.694176
979§2.395492§2.373449§Chromosome(steinerPoints=[(0.53026396, 0.76164365), (0.14995065, 0.33265412), (0.4314871, 0.6851546), (0.43107077, 0.70080006), (0.86668885, 0.689743)], includedObstacleCornersIndices=set([]))§215186§7.769615
980§2.390061§2.373209§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.86754906, 0.6892325), (0.53026396, 0.76164365), (0.43107077, 0.70080006)], includedObstacleCornersIndices=set([]))§215415§7.77762
1481§2.391166§2.3730721§Chromosome(steinerPoints=[(0.16995066, 0.33265412), (0.86754906, 0.6892325), (0.43107077, 0.70080006), (0.5270459, 0.75892496)], includedObstacleCornersIndices=set([]))§331829§11.17302
