generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.0640028§2.6247668§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§675§0.20572618
7§2.6947787§2.6066694§Chromosome(steinerPoints=[(0.14995065, 0.33265412)], includedObstacleCornersIndices=set([]))§1684§0.23762733
9§2.674147§2.5431666§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7]))§2032§0.24747297
15§2.6495159§2.513948§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([7]))§3051§0.2761987
25§2.5686247§2.5083§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([7]))§4757§0.3366386
32§2.5541897§2.5064883§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412), (0.5046899, 0.8362386), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([7]))§5967§0.38329044
39§2.552654§2.5045128§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.9063096, 0.7126548), (0.54458016, 0.72617155)], includedObstacleCornersIndices=set([7, 6]))§7188§0.4347239
42§2.5501065§2.5037353§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.54458016, 0.72617155), (0.49693203, 0.8248326)], includedObstacleCornersIndices=set([7, 6]))§7707§0.4584711
353§2.531662§2.5019727§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.54458016, 0.72617155), (0.49693203, 0.8248326), (0.17200065, 0.34388506)], includedObstacleCornersIndices=set([7]))§69878§3.417782
837§2.522596§2.5015383§Chromosome(steinerPoints=[(0.17200065, 0.34388506), (0.9063096, 0.7126548), (0.49693203, 0.8248326), (0.5262562, 0.71348906)], includedObstacleCornersIndices=set([7]))§182452§8.35241
845§2.5228982§2.5000544§Chromosome(steinerPoints=[(0.17200065, 0.34388506), (0.49693203, 0.8248326), (0.5262562, 0.71348906), (0.9063096, 0.7126548), (0.4854493, 0.8095906)], includedObstacleCornersIndices=set([7]))§184336§8.434666
890§2.5212157§2.4966207§Chromosome(steinerPoints=[(0.17200065, 0.34388506), (0.5262562, 0.71348906), (0.4854493, 0.8095906), (0.8557102, 0.6892538)], includedObstacleCornersIndices=set([]))§194814§8.898228
894§2.517994§2.4957206§Chromosome(steinerPoints=[(0.17200065, 0.34388506), (0.5262562, 0.71348906), (0.4854493, 0.8095906), (0.8557102, 0.6892538), (0.86979127, 0.6845215)], includedObstacleCornersIndices=set([]))§195730§8.938275
974§2.5106304§2.4954407§Chromosome(steinerPoints=[(0.5262562, 0.71348906), (0.4854493, 0.8095906), (0.86979127, 0.6845215), (0.16933832, 0.34197977)], includedObstacleCornersIndices=set([]))§214296§9.654839
1475§2.5127127§2.4952357§Chromosome(steinerPoints=[(0.86979127, 0.6845215), (0.5248964, 0.7147865), (0.4854493, 0.8095906), (0.17044236, 0.33998471)], includedObstacleCornersIndices=set([]))§330823§13.578184
