generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2720000300§10.132978§Chromosome(steinerPoints=[(4.8327646, 3.608791)], includedObstacleCornersIndices=set([]))§674§0.46985808
48§359999970§10.130772§Chromosome(steinerPoints=[(5.0685425, 5.363573)], includedObstacleCornersIndices=set([]))§8742§0.53524315
136§260000020§10.129555§Chromosome(steinerPoints=[(5.129965, 5.1806073)], includedObstacleCornersIndices=set([]))§24778§0.653282
212§100000020§10.117485§Chromosome(steinerPoints=[(5.129965, 5.1806073), (6.852282, 2.517241)], includedObstacleCornersIndices=set([]))§39676§0.7817424
216§280000030§10.111354§Chromosome(steinerPoints=[(5.129965, 5.1806073), (6.852282, 2.517241), (5.106386, 3.5593765)], includedObstacleCornersIndices=set([]))§40470§0.7890737
222§200000020§10.110022§Chromosome(steinerPoints=[(3.4759593, 2.794617), (5.129965, 5.1806073), (5.1962852, 3.6247628), (6.852282, 2.517241)], includedObstacleCornersIndices=set([]))§41681§0.80062765
223§360000000§10.108768§Chromosome(steinerPoints=[(3.4759593, 2.794617), (5.129965, 5.1806073), (6.852282, 2.517241)], includedObstacleCornersIndices=set([]))§41889§0.80276304
228§160000020§10.102637§Chromosome(steinerPoints=[(3.4759593, 2.794617), (5.129965, 5.1806073), (6.852282, 2.517241), (5.106386, 3.5593765)], includedObstacleCornersIndices=set([]))§42924§0.814127
280§160000020§10.096649§Chromosome(steinerPoints=[(6.852282, 2.517241), (3.4759593, 2.794617), (5.106386, 3.5593765), (5.2264194, 5.668409)], includedObstacleCornersIndices=set([]))§53904§0.9613235
399§200000020§10.086828§Chromosome(steinerPoints=[(3.4759593, 2.794617), (5.2264194, 5.668409), (5.151103, 3.583084), (6.6976438, 2.7127388)], includedObstacleCornersIndices=set([]))§80510§1.2979397
413§160000020§10.085545§Chromosome(steinerPoints=[(6.6976438, 2.7127388), (5.2264194, 5.668409), (5.151103, 3.583084), (3.4759593, 2.794617), (5.196647, 3.6085086)], includedObstacleCornersIndices=set([]))§83749§1.3379905
505§180000020§10.081491§Chromosome(steinerPoints=[(5.2264194, 5.668409), (5.151103, 3.583084), (5.196647, 3.6085086), (6.6976438, 2.7127388), (3.1258402, 2.6105266)], includedObstacleCornersIndices=set([]))§105076§1.6291362
607§220000020§10.0781555§Chromosome(steinerPoints=[(6.6976438, 2.7127388), (4.231074, 3.1021116), (5.2264194, 5.668409), (5.196647, 3.6085086), (3.232353, 2.640864)], includedObstacleCornersIndices=set([]))§128826§1.9731181
616§200000020§10.0758915§Chromosome(steinerPoints=[(4.231074, 3.1021116), (6.6976438, 2.7127388), (5.196647, 3.6085086), (3.1258402, 2.6105266), (5.1568494, 5.967676)], includedObstacleCornersIndices=set([]))§130972§2.0047576
622§300000000§10.073076§Chromosome(steinerPoints=[(3.232353, 2.640864), (4.231074, 3.1021116), (6.6976438, 2.7127388), (5.196647, 3.6085086), (5.1568494, 5.967676)], includedObstacleCornersIndices=set([]))§132353§2.026058
951§220000020§10.071965§Chromosome(steinerPoints=[(3.2763772, 2.6077237), (6.6976438, 2.7127388), (5.196647, 3.6085086), (5.1686935, 5.9988174)], includedObstacleCornersIndices=set([]))§208789§2.9746833
957§100000020§10.070896§Chromosome(steinerPoints=[(6.6976438, 2.7127388), (5.196647, 3.6085086), (3.2763772, 2.6077237), (5.18914, 6.0095906)], includedObstacleCornersIndices=set([]))§210182§2.9920764
970§60000012§10.069529§Chromosome(steinerPoints=[(5.196647, 3.6085086), (5.18914, 6.0095906), (3.2763772, 2.6077237), (6.740595, 2.6509802)], includedObstacleCornersIndices=set([]))§213235§3.0303059
1016§180000020§10.068483§Chromosome(steinerPoints=[(5.196647, 3.6085086), (5.18914, 6.0095906), (6.740595, 2.6509802), (3.2177293, 2.6017401)], includedObstacleCornersIndices=set([]))§223981§3.1614218
1102§200000020§10.067396§Chromosome(steinerPoints=[(6.740595, 2.6509802), (5.162045, 3.5929146), (3.2146442, 2.5798688), (5.184145, 5.986179)], includedObstacleCornersIndices=set([]))§243990§3.4126744
1603§180000020§10.066973§Chromosome(steinerPoints=[(6.7516217, 2.6369965), (3.2313375, 2.6085978), (5.184145, 5.986179), (5.162045, 3.5929146)], includedObstacleCornersIndices=set([]))§360439§4.828478
